Date, Close/Last, Volume, Open, High, Low
4/23/18,$165.24 ,36396590,$166.84 ,$166.92 ,$164.09 
4/20/18,$165.72 ,65270950,$170.60 ,$171.22 ,$165.43 
4/19/18,$172.80 ,34693280,$174.95 ,$175.39 ,$172.66 
4/18/18,$177.84 ,20544600,$177.81 ,$178.82 ,$176.88 
4/17/18,$178.24 ,26575010,$176.49 ,$178.94 ,$176.41 
4/16/18,$175.82 ,21561320,$175.03 ,$176.19 ,$174.83 
4/13/18,$174.73 ,25100510,$174.78 ,$175.84 ,$173.85 
4/12/18,$174.14 ,22858840,$173.41 ,$175 ,$173.04 
4/11/18,$172.44 ,22401040,$172.23 ,$173.92 ,$171.70 
4/10/18,$173.25 ,28567110,$173 ,$174 ,$171.53 
4/9/18,$170.05 ,28976200,$169.88 ,$173.09 ,$169.85 
4/6/18,$168.38 ,34949690,$170.97 ,$172.48 ,$168.20 
4/5/18,$172.80 ,26750260,$172.58 ,$174.23 ,$172.08 
4/4/18,$171.61 ,34581850,$164.88 ,$172.01 ,$164.77 
4/3/18,$168.39 ,30237640,$167.64 ,$168.75 ,$164.88 
4/2/18,$166.68 ,37425640,$167.88 ,$168.94 ,$164.47 
3/29/18,$167.78 ,38116290,$167.81 ,$171.75 ,$166.90 
3/28/18,$166.48 ,41464880,$167.25 ,$170.02 ,$165.19 
3/27/18,$168.34 ,39824200,$173.68 ,$175.15 ,$166.92 
3/26/18,$172.77 ,36778560,$168.07 ,$173.10 ,$166.44 
3/23/18,$164.94 ,40984540,$168.39 ,$169.92 ,$164.94 
3/22/18,$168.85 ,41335980,$170 ,$172.68 ,$168.60 
3/21/18,$171.27 ,36387880,$175.04 ,$175.09 ,$171.26 
3/20/18,$175.24 ,19620520,$175.24 ,$176.80 ,$174.94 
3/19/18,$175.30 ,32931110,$177.32 ,$177.47 ,$173.66 
3/16/18,$178.02 ,38313330,$178.65 ,$179.12 ,$177.62 
3/15/18,$178.65 ,22676520,$178.50 ,$180.24 ,$178.07 
3/14/18,$178.44 ,29334630,$180.32 ,$180.52 ,$177.81 
3/13/18,$179.97 ,31464170,$182.59 ,$183.50 ,$179.24 
3/12/18,$181.72 ,32191070,$180.29 ,$182.39 ,$180.21 
