Category: All categories

Week,greta thunberg: (Montana),climate change: (Montana)
2017-03-26,0,10
2017-04-02,0,12
2017-04-09,0,10
2017-04-16,0,15
2017-04-23,0,17
2017-04-30,0,13
2017-05-07,0,10
2017-05-14,0,5
2017-05-21,0,6
2017-05-28,0,43
2017-06-04,0,11
2017-06-11,0,14
2017-06-18,0,5
2017-06-25,0,11
2017-07-02,0,6
2017-07-09,0,0
2017-07-16,0,8
2017-07-23,0,5
2017-07-30,0,15
2017-08-06,0,5
2017-08-13,0,5
2017-08-20,0,0
2017-08-27,0,15
2017-09-03,0,15
2017-09-10,0,9
2017-09-17,0,5
2017-09-24,0,13
2017-10-01,0,5
2017-10-08,0,10
2017-10-15,0,5
2017-10-22,0,20
2017-10-29,0,10
2017-11-05,0,14
2017-11-12,0,14
2017-11-19,0,5
2017-11-26,0,9
2017-12-03,0,16
2017-12-10,0,7
2017-12-17,0,5
2017-12-24,0,5
2017-12-31,0,9
2018-01-07,0,9
2018-01-14,0,7
2018-01-21,0,11
2018-01-28,0,7
2018-02-04,0,7
2018-02-11,0,4
2018-02-18,0,4
2018-02-25,0,7
2018-03-04,0,18
2018-03-11,0,4
2018-03-18,0,4
2018-03-25,0,5
2018-04-01,0,15
2018-04-08,0,7
2018-04-15,0,9
2018-04-22,0,9
2018-04-29,0,11
2018-05-06,0,9
2018-05-13,0,0
2018-05-20,0,10
2018-05-27,0,5
2018-06-03,0,5
2018-06-10,0,7
2018-06-17,0,0
2018-06-24,0,0
2018-07-01,0,0
2018-07-08,0,14
2018-07-15,0,9
2018-07-22,0,5
2018-07-29,0,5
2018-08-05,0,5
2018-08-12,0,14
2018-08-19,0,7
2018-08-26,0,5
2018-09-02,0,5
2018-09-09,0,9
2018-09-16,0,5
2018-09-23,0,5
2018-09-30,0,9
2018-10-07,0,7
2018-10-14,0,17
2018-10-21,0,14
2018-10-28,0,7
2018-11-04,0,11
2018-11-11,0,12
2018-11-18,0,10
2018-11-25,0,11
2018-12-02,0,21
2018-12-09,0,9
2018-12-16,0,7
2018-12-23,0,11
2018-12-30,5,10
2019-01-06,0,0
2019-01-13,0,7
2019-01-20,0,9
2019-01-27,0,7
2019-02-03,0,4
2019-02-10,0,4
2019-02-17,4,9
2019-02-24,4,9
2019-03-03,0,16
2019-03-10,9,0
2019-03-17,5,17
2019-03-24,0,5
2019-03-31,0,5
2019-04-07,0,5
2019-04-14,5,14
2019-04-21,0,19
2019-04-28,0,21
2019-05-05,0,7
2019-05-12,0,14
2019-05-19,0,7
2019-05-26,0,12
2019-06-02,0,9
2019-06-09,0,0
2019-06-16,0,7
2019-06-23,0,5
2019-06-30,0,5
2019-07-07,0,9
2019-07-14,0,5
2019-07-21,5,9
2019-07-28,0,7
2019-08-04,5,9
2019-08-11,9,9
2019-08-18,4,11
2019-08-25,9,15
2019-09-01,6,13
2019-09-08,4,12
2019-09-15,8,21
2019-09-22,100,19
2019-09-29,23,21
2019-10-06,13,6
2019-10-13,7,18
2019-10-20,9,9
2019-10-27,9,13
2019-11-03,9,6
2019-11-10,4,21
2019-11-17,13,8
2019-11-24,4,17
2019-12-01,8,15
2019-12-08,28,9
2019-12-15,18,9
2019-12-22,5,12
2019-12-29,4,13
2020-01-05,12,12
2020-01-12,8,10
2020-01-19,6,12
2020-01-26,6,6
2020-02-02,4,8
2020-02-09,4,4
2020-02-16,4,8
2020-02-23,4,8
2020-03-01,10,8
2020-03-08,7,9
2020-03-15,0,4
2020-03-22,7,5
2020-03-29,5,11
2020-04-05,0,3
2020-04-12,3,10
2020-04-19,3,10
2020-04-26,10,7
2020-05-03,0,5
2020-05-10,3,7
2020-05-17,4,7
2020-05-24,8,0
2020-05-31,0,9
2020-06-07,5,4
2020-06-14,4,4
2020-06-21,4,8
2020-06-28,0,0
2020-07-05,0,4
