Category: All categories

Week,greta thunberg: (Hawaii),climate change: (Hawaii)
2019-01-27,0,19
2019-02-03,0,28
2019-02-10,0,19
2019-02-17,0,19
2019-02-24,0,19
2019-03-03,0,29
2019-03-10,0,9
2019-03-17,5,5
2019-03-24,0,29
2019-03-31,0,10
2019-04-07,0,39
2019-04-14,0,15
2019-04-21,5,25
2019-04-28,0,19
2019-05-05,0,25
2019-05-12,0,5
2019-05-19,0,25
2019-05-26,0,15
2019-06-02,0,15
2019-06-09,0,26
2019-06-16,0,10
2019-06-23,0,10
2019-06-30,0,36
2019-07-07,0,20
2019-07-14,0,10
2019-07-21,0,21
2019-07-28,0,10
2019-08-04,0,25
2019-08-11,15,19
2019-08-18,5,24
2019-08-25,0,44
2019-09-01,0,24
2019-09-08,0,19
2019-09-15,14,42
2019-09-22,100,86
2019-09-29,24,34
2019-10-06,15,29
2019-10-13,5,14
2019-10-20,5,38
2019-10-27,15,29
2019-11-03,14,37
2019-11-10,5,28
2019-11-17,5,42
2019-11-24,5,14
2019-12-01,5,23
2019-12-08,39,14
2019-12-15,43,38
2019-12-22,5,14
2019-12-29,9,9
2020-01-05,13,13
2020-01-12,4,21
2020-01-19,13,22
2020-01-26,4,9
2020-02-02,9,22
2020-02-09,0,18
2020-02-16,0,17
2020-02-23,0,25
2020-03-01,24,12
2020-03-08,4,28
2020-03-15,0,4
2020-03-22,8,16
2020-03-29,0,12
2020-04-05,4,12
2020-04-12,4,16
2020-04-19,4,27
2020-04-26,0,35
2020-05-03,0,20
2020-05-10,4,21
2020-05-17,0,12
2020-05-24,0,26
2020-05-31,0,4
2020-06-07,4,9
2020-06-14,0,27
2020-06-21,5,5
2020-06-28,5,5
2020-07-05,0,5
